Sensitivity (dB),Recorder Depth (m),Sample Rate (kHz),Gain/Pre-amp,Bandwidth for Analysis (kHz),Location Latitude,Location Longitude,Frequency Mean,Power (dB),MFCC 1,MFCC 2,SNR,Background Noise,Sound Source,Temporal Period_Day,Temporal Period_Dusk,Temporal Period_Night,Recording Platform_Fixed Buoy,Recording Platform_Research Vessel,Recording Platform_Towed Array
-90.8282605066918,2341.27609081558,61.329113583397884,17.833310114143647,5.898770875082142,-7.335199446143918,-59.864899989952136,2000.0677254535854,-33.96446108204589,-8.307652629186993,5.269957029338865,38.1565812704725,1.0015575316820287,2,False,True,False,True,False,False
-84.78788785202312,1579.0217305803912,47.14727160322195,11.649165607921677,30.980791841396595,-64.89110508263246,-74.82792652732147,1130.7674377163905,-36.31790047348892,3.5552788417904075,-23.01141762445741,19.313157645099455,3.481036422155106,3,True,False,False,True,False,False
-65.98462307061101,1356.9927633889336,11.140786659748521,37.68807022739411,28.601122674431426,-20.6250295428151,-174.2521492007229,2616.256779355043,-50.35898135895953,10.497905564763748,1.349883022391733,34.99584735208493,1.3467293070155442,2,True,False,False,False,False,False
-66.8738857823009,942.0161175073388,54.72584982129173,21.868411173731186,10.057868320750824,84.52523299762055,99.04781641000125,475.7995766256756,-53.155179487170535,-12.063000635667446,-12.343772949306494,6.327387530778792,3.3919657248382906,0,False,True,False,False,False,True
-57.77330756609243,2244.487129310769,56.41352338546086,23.47004662655393,48.29751005594276,19.266164583603242,-80.64029447188439,218.50940228163296,-75.04199182810993,-29.530907797764183,-27.29795557880891,10.923222772633546,3.5869763494360765,0,False,False,True,False,True,False
-64.65713280761915,2189.731432442552,76.32924981499133,2.9617860693636144,18.564820698669358,-69.14356928547664,130.71723331521366,5363.086887792905,-46.76407900589403,-8.093249491419291,-9.115618739951824,19.75549966080241,2.459212356676128,2,False,False,False,False,False,False
-71.93782870761494,1154.9513555138317,93.56724020346292,33.95655297064336,36.36474653707879,-47.522714445187965,-87.81540380592337,169.27908913837246,-28.68011330942638,-16.673275375645062,-14.623222434698047,12.437822451378716,4.239408989183799,3,False,False,True,False,False,False
-74.57146544176486,2723.623757039018,31.439131706803245,16.415316921425188,38.022005788609384,-48.81633021150796,-152.28723246163452,215.90058116550722,-75.16336138237986,-2.1090704297228093,-15.756388613067493,14.501056347656352,4.742921180375435,0,False,True,False,True,False,False
-79.1745026064817,2651.0079741674163,37.89367180645356,4.883518188026934,18.45859406577177,73.22911947823573,-82.03239022153129,1960.6858555970189,-49.98438869014053,-9.422934309974929,-19.332655964468984,11.622428769144719,3.335223548438605,3,False,True,False,False,True,False
-94.00673163331587,1019.4693624968476,91.09023453647664,12.92811728083021,26.420740465424938,36.54341260113202,-49.09334314345418,14717.820827209607,-11.126581151736662,17.553468874760924,19.91745517677156,25.53074084358694,0.9272607415662014,1,True,False,False,True,False,False
-51.169252208367354,1239.0006698215116,12.84236302944716,13.80284992106732,32.08321589036683,32.52698127985802,11.136449994169112,279.11326582923664,-63.413207327860164,-12.219098283618195,-37.574400210018545,10.544816840921067,3.484319876554852,0,False,False,False,True,False,False
-68.38470847032103,1904.2538351750752,56.07662283042923,3.611590802176332,41.92982228387266,-32.25958830508755,-112.85333625605247,5407.751415547639,-22.273211704352747,30.326930855268472,5.497634867835685,32.92325704047484,0.8397436627969069,1,False,True,False,True,False,False
-52.9738367755198,1198.7403430516918,54.52661614536329,33.50840423629312,34.108815734924754,42.33890146333897,-104.73421653442307,1647.271522791319,-29.126468019647536,-13.143499346081011,-23.876577551642235,29.607703553247582,3.2915897281775357,3,False,False,False,False,True,False
-95.34486160970503,2692.675116280447,87.43595291604642,25.32405829093072,17.612459761386333,-27.14227656972104,81.3440443932862,458.84410398103086,-53.38740727204648,-6.603733624271285,-20.73905061537137,6.262099474925733,3.3232574281892275,0,False,False,True,True,False,False
-70.96566892817727,1123.1254720196118,90.85147605136895,38.94655347021269,14.91212776213582,-35.03450513800918,-5.179048708958419,9484.241429862474,-10.16627612167538,15.277757580320362,5.542260908465626,32.28628003142021,0.7682340638319932,1,False,True,False,False,True,False
-57.5388294752911,1976.2625479780268,58.874539886850556,3.746990713123699,19.018074349912244,-42.26357381728942,-92.16372838352991,2920.3811365197143,-38.207068259997186,6.761396655313398,-7.910148090095799,25.485848677916266,3.2565927327629804,3,False,True,False,False,True,False
-56.79162174640485,698.2539520422503,52.930630670088696,22.880167968367324,38.65914670100914,-82.15132108420192,178.03818388704275,1436.3363162732817,-41.61318974609724,6.504820667987769,-3.829842913590511,28.96758063452697,2.826875761676284,3,False,False,False,False,True,False
-51.81900114553736,2560.4982718474066,35.32260471798437,15.40390914407701,42.70569690432599,-32.95403907187002,-118.9826111930067,10568.012624583502,-11.91535677517657,30.88089390024919,22.101835102680948,18.4011772819769,1.4225108400487545,1,True,False,False,False,False,False
-87.29181754651306,892.9188593726268,37.739365724519644,33.94679179698698,7.694445240659412,37.603979443821345,19.015191686846777,7965.101436477985,-27.406574306611706,17.68620830783374,23.345411325970417,17.855796314008412,0.5077772941609802,1,False,False,False,False,False,True
-67.50180346111173,2108.880963000533,78.43816957150469,35.60021367270265,17.561762685725256,-22.39506852481007,-146.16650165728714,1755.9264159387133,-48.92173178609774,-6.032059456026195,-11.007437785234817,14.303907546822257,3.477083151422527,3,True,False,False,False,True,False
-98.05826327852884,916.7638888729363,56.18908873891237,13.066049671841636,41.565581185591846,-41.12227515244646,167.49065894067712,9572.651616137286,-14.73930774964056,15.83140101984619,17.340617151700357,39.482927376851784,0.707529638626702,1,True,False,False,False,True,False
-74.18498258494023,975.6398540943254,78.38601275010852,10.833290050482969,22.509599614576167,-75.87785135839212,-170.8737323704353,2889.812823299879,-24.920596384633825,0.8792261828109389,-15.686646945500554,11.812475041558606,2.391092606677715,3,True,False,False,False,False,True
-95.30633549593541,556.7693313508489,90.37680377121504,25.530823753734015,26.318116613901765,28.280039130030033,-23.157756475959218,12300.393165618185,-38.568516169250536,26.981116314822287,9.75939342927473,19.205762673197476,1.0128195000746023,1,False,True,False,False,False,True
-97.96355988405149,2567.8271461929116,70.51457590668204,18.96695316349301,5.7938738718990725,-1.5091424789701762,-9.550162518996359,560.9455162345448,-36.98445052286081,-8.044857968078796,-8.445246568172422,21.972060319088165,2.113260024430111,3,True,False,False,False,False,False
-53.32818459602585,1508.109252906625,56.386460562405375,27.358550775925643,31.176707055105776,79.90048882093629,159.93057496506026,7070.392534885026,-34.54385610215955,14.02847884047199,3.700891983404361,27.201011250158,1.2570007064678204,2,False,False,True,False,False,True
-52.92675956117374,1164.446887024315,92.66238848885662,36.21402567824255,10.593765604675525,-77.51496584247022,-143.7199195041264,107.28873026061989,-77.16671117732214,-9.509796797509296,-37.864340546193134,9.784634454406419,4.689750621938909,0,False,False,False,False,False,False
-86.96527358820484,1493.1519883372844,69.58857084750679,13.933464178127895,46.89575944092966,-82.94646119838367,-29.53942858239165,14675.805515202475,-23.56084350255738,22.704128269243554,22.05560851249875,35.157360134032956,1.5974716329494603,1,False,False,True,False,False,True
-61.17935196290016,1029.0025853565235,90.04513000190657,34.336510073720476,22.0207073413759,45.15679220246952,91.63543467048567,354.2154130660012,-22.923412799613,-4.842428826564285,-1.0739886862290433,15.041091222673458,4.238808071240501,3,False,False,True,True,False,False
